velocity,ultrasonic,tof,rate_of_change,label
0,23.19,17,0,1
0,22.69,92,-0.1,1
0.06,22.71,106,0.004,1
0.14,24.47,106,0.352,1
0.21,24.3,103,-0.034,1
0.27,24.42,104,0.024,1
0.35,26.12,105,0.34,1
0.42,26.45,103,0.066,1
0.48,26.65,106,0.04,1
0.54,26.26,107,-0.078,1
0.61,26.03,105,-0.046,1
0.68,26.24,106,0.042,1
0.69,26.69,106,0.09,1
0.68,28.33,105,0.328,1
0.67,28.52,105,0.038,1
0.7,30.2,107,0.336,1
0.72,29.84,104,-0.072,1
0.72,29.89,107,0.01,1
0.74,30.84,106,0.19,1
0.76,32.33,107,0.298,1
0.76,33.61,105,0.256,1
0.76,33.29,109,-0.064,1
0.76,34.78,107,0.298,1
0.78,33.19,106,-0.318,1
0.78,34.15,107,0.192,1
0.77,35.72,110,0.314,1
0.75,37.08,107,0.272,0
0.75,36.29,106,-0.158,0
0.74,38.38,106,0.418,0
0.74,38.16,109,-0.044,0
0.72,38.69,107,0.106,0
0,24.3,30,0,1
0.01,24.35,81,0.01,1
0.06,24.58,90,0.046,1
0.13,24.76,91,0.036,1
0.19,24.88,88,0.024,1
0.21,24.88,90,0,1
0.23,24.99,90,0.022,1
0.29,25,89,0.002,1
0.34,25.11,92,0.022,1
0.36,25.21,91,0.02,1
0.41,25.26,89,0.01,1
0.43,25.4,91,0.028,1
0.41,25.42,87,0.004,1
0.4,25.54,88,0.024,1
0.39,25.57,91,0.006,1
0.44,25.62,92,0.01,1
0.43,25.73,89,0.022,1
0.38,25.88,90,0.03,1
0.4,25.98,88,0.02,1
0.44,26.02,95,0.008,1
0.42,26,90,-0.004,1
0.39,26.09,90,0.018,1
0.41,26.15,88,0.012,1
0.38,26.19,89,0.008,1
0.36,26.29,92,0.02,1
0.34,26.34,91,0.01,1
0.34,26.45,89,0.022,1
0.37,26.5,91,0.01,1
0.33,26.57,91,0.014,1
0.33,28.37,95,0.36,1
0.31,28.5,91,0.026,1
0.26,28.33,94,-0.034,1
0.25,28.52,92,0.038,1
0.27,28.74,95,0.044,1
0.24,28.83,94,0.018,1
0.24,28.93,94,0.02,1
0.26,28.93,94,0,1
0.22,28.61,93,-0.064,1
0.2,28.85,93,0.048,1
0.25,28.83,95,-0.004,1
0.27,29.22,94,0.078,1
0.25,29.53,93,0.062,1
0.23,29.69,93,0.032,1
0.19,29.86,92,0.034,1
0.22,29.88,94,0.004,1
0.2,29.96,92,0.016,1
0.15,30.01,94,0.01,1
0.13,30.03,95,0.004,1
0.14,30.06,93,0.006,1
0.11,30.2,93,0.028,1
0.09,30.18,95,-0.004,1
0.09,30.03,93,-0.03,1
0.1,30.2,93,0.034,1
0.1,30.25,94,0.01,1
0.11,30.41,94,0.032,1
0.13,30.49,95,0.016,1
0.17,30.46,96,-0.006,1
0.17,30.29,92,-0.034,1
0.18,30.41,95,0.024,1
0.17,30.49,97,0.016,1
0.17,30.08,91,-0.082,1
0.19,30.29,91,0.042,1
0.22,30.3,92,0.002,1
0.23,30.32,92,0.004,1
0.23,30.06,91,-0.052,1
0.23,30.53,91,0.094,1
0.23,30.46,91,-0.014,1
0.25,30.56,92,0.02,1
0.26,30.61,92,0.01,1
0.26,30.65,91,0.008,1
0.27,30.85,91,0.04,1
0.26,30.84,90,-0.002,1
0.29,30.75,94,-0.018,1
0.31,30.87,94,0.024,1
0.34,30.8,91,-0.014,1
0.33,30.85,93,0.01,1
0.3,30.99,90,0.028,1
0.27,31.08,93,0.018,1
0.26,31.18,91,0.02,1
0.25,30.39,91,-0.158,1
0.25,30.51,92,0.024,1
0.22,30.7,90,0.038,1
0.19,30.77,90,0.014,1
0.16,30.99,90,0.044,1
0.09,31.09,90,0.02,1
0.09,31.14,91,0.01,1
0.09,31.11,90,-0.006,1
0.09,31.13,90,0.004,1
0.1,31.3,89,0.034,1
0.09,31.26,90,-0.008,1
0.1,31.38,93,0.024,1
0.1,31.5,90,0.024,1
0.07,31.57,89,0.014,1
0.08,31.52,91,-0.01,1
0.1,31.61,90,0.018,1
0.09,31.8,90,0.038,1
0.07,32.09,93,0.058,1
0.07,32.22,92,0.026,1
