scenario,time_s,velocity,ultrasonic,tof,rate_of_change,label,time_to_overflow_s
fast_overflow,0,0.82,20.0,95.6,0.0,2,45
fast_overflow,5,0.87,20.0,87.67,0.0,2,40
fast_overflow,10,0.85,20.0,78.5,0.0,2,35
fast_overflow,15,0.88,20.0,72.56,0.0,2,30
fast_overflow,20,0.88,20.0,61.99,0.0,2,25
fast_overflow,25,0.86,20.0,53.89,0.0,2,20
fast_overflow,30,0.83,20.0,46.62,0.0,2,15
fast_overflow,35,0.84,20.0,36.15,0.0,2,10
fast_overflow,40,0.85,20.0,28.9,0.0,2,5
fast_overflow,45,0.81,20.0,18.0,0.0,4,0
fast_overflow,50,0.8,20.0,18.0,0.0,4,0
fast_overflow,55,0.84,20.0,18.0,0.0,4,0
fast_overflow,60,0.82,20.0,18.0,0.0,4,0
fast_overflow,65,0.82,20.0,18.0,0.0,4,0
fast_overflow,70,0.8,20.0,18.0,0.0,4,0
fast_overflow,75,0.81,20.0,18.0,0.0,4,0
moderate_overflow,0,0.7,20.0,95.13,0.0,2,90
moderate_overflow,5,0.72,20.0,91.4,0.0,2,85
moderate_overflow,10,0.74,20.0,86.54,0.0,2,80
moderate_overflow,15,0.76,20.0,85.06,0.0,2,75
moderate_overflow,20,0.79,20.0,77.51,0.0,2,70
moderate_overflow,25,0.77,20.0,73.26,0.0,2,65
moderate_overflow,30,0.74,20.0,68.32,0.0,2,60
moderate_overflow,35,0.77,20.0,66.85,0.0,2,55
moderate_overflow,40,0.74,20.0,62.76,0.0,2,50
moderate_overflow,45,0.7,20.0,58.14,0.0,2,45
moderate_overflow,50,0.7,20.0,53.58,0.0,2,40
moderate_overflow,55,0.7,20.0,51.66,0.0,2,35
moderate_overflow,60,0.69,20.0,44.22,0.0,2,30
moderate_overflow,65,0.66,20.0,41.82,0.0,2,25
moderate_overflow,70,0.69,20.0,38.96,0.0,2,20
moderate_overflow,75,0.66,20.0,35.28,0.0,2,15
moderate_overflow,80,0.69,20.0,29.74,0.0,2,10
moderate_overflow,85,0.68,20.0,27.23,0.0,2,5
moderate_overflow,90,0.72,20.0,18.0,0.0,4,0
moderate_overflow,95,0.7,20.0,18.0,0.0,4,0
moderate_overflow,100,0.7,20.0,18.0,0.0,4,0
moderate_overflow,105,0.73,20.0,18.0,0.0,4,0
moderate_overflow,110,0.74,20.0,18.0,0.0,4,0
moderate_overflow,115,0.72,20.0,18.0,0.0,4,0
moderate_overflow,120,0.74,20.0,18.0,0.0,4,0
slow_overflow,0,0.57,20.0,95.43,0.0,2,180
slow_overflow,5,0.63,20.0,93.41,0.0,2,175
slow_overflow,10,0.64,20.0,90.9,0.0,2,170
slow_overflow,15,0.64,20.0,85.77,0.0,2,165
slow_overflow,20,0.62,20.0,86.99,0.0,2,160
slow_overflow,25,0.59,20.0,84.97,0.0,2,155
slow_overflow,30,0.63,20.0,82.57,0.0,2,150
slow_overflow,35,0.61,20.0,82.58,0.0,2,145
slow_overflow,40,0.59,20.0,77.81,0.0,2,140
slow_overflow,45,0.59,20.0,77.85,0.0,2,135
slow_overflow,50,0.58,20.0,74.09,0.0,2,130
slow_overflow,55,0.57,20.0,72.81,0.0,2,125
slow_overflow,60,0.54,20.0,69.82,0.0,2,120
slow_overflow,65,0.5,20.0,68.17,0.0,2,115
slow_overflow,70,0.54,20.0,66.97,0.0,2,110
slow_overflow,75,0.53,20.0,64.59,0.0,2,105
slow_overflow,80,0.53,20.0,60.86,0.0,2,100
slow_overflow,85,0.54,20.0,60.12,0.0,2,95
slow_overflow,90,0.57,20.0,58.31,0.0,2,90
slow_overflow,95,0.59,20.0,58.74,0.0,2,85
slow_overflow,100,0.6,20.0,54.75,0.0,2,80
slow_overflow,105,0.61,20.0,50.11,0.0,2,75
slow_overflow,110,0.67,20.0,50.46,0.0,2,70
slow_overflow,115,0.64,20.0,48.13,0.0,2,65
slow_overflow,120,0.61,20.0,46.29,0.0,2,60
slow_overflow,125,0.64,20.0,45.68,0.0,2,55
slow_overflow,130,0.6,20.0,43.23,0.0,2,50
slow_overflow,135,0.57,20.0,41.93,0.0,2,45
slow_overflow,140,0.63,20.0,38.93,0.0,2,40
slow_overflow,145,0.56,20.0,35.01,0.0,2,35
slow_overflow,150,0.54,20.0,34.29,0.0,2,30
slow_overflow,155,0.54,20.0,30.28,0.0,2,25
slow_overflow,160,0.54,20.0,28.84,0.0,2,20
slow_overflow,165,0.56,20.0,26.98,0.0,2,15
slow_overflow,170,0.53,20.0,25.12,0.0,2,10
slow_overflow,175,0.52,20.0,25.0,0.0,2,5
slow_overflow,180,0.58,20.0,18.0,0.0,4,0
slow_overflow,185,0.6,20.0,18.0,0.0,4,0
slow_overflow,190,0.56,20.0,18.0,0.0,4,0
slow_overflow,195,0.58,20.0,18.0,0.0,4,0
slow_overflow,200,0.58,20.0,18.0,0.0,4,0
slow_overflow,205,0.59,20.0,18.0,0.0,4,0
slow_overflow,210,0.56,20.0,18.0,0.0,4,0
